N,P,K,Temp,Humidity,pH,Rainfall,Soil_temp,Soil_moisture,Crop
54.2,23.2,41.6,24.6,47.7,6.11,112.4,21.9,22.3,Kidneybeans
75.9,21.8,44.3,30,60.6,5.87,122.1,16.6,32.2,Kidneybeans
56.4,21.2,52.4,24.9,44.4,5.72,91.4,23.1,27.6,Kidneybeans
36.6,13.6,42.4,29,48.3,6.2,105.3,23.6,28.6,Kidneybeans
33.8,12.6,50.6,29.1,69.7,5.77,82.9,27.9,35.5,Kidneybeans
42.4,18,49.6,24.2,58.2,5.79,88.2,21.3,27.3,Kidneybeans
49.4,23,34.8,25.9,38.5,5.93,90.2,22.9,24.2,Kidneybeans
24.3,16.1,40.8,22.2,55.5,5.7,73.5,19.7,34.3,Kidneybeans
27.2,11.8,46.2,25.4,45.8,5.66,82.1,17.7,40.4,Kidneybeans
81.5,18.8,46,26.7,51.5,5.7,60,21.8,19.5,Kidneybeans
39.2,12.2,49.3,23.4,37,5.53,84.3,25.3,21,Kidneybeans
57.8,20.2,46.3,26.1,46.1,5.89,76.1,17.4,18.4,Kidneybeans
33,18.8,38.5,30,30,5.94,117.6,18.3,10.7,Kidneybeans
57.6,22.6,43.4,30,48.8,5.97,133,19.4,24.6,Kidneybeans
80.6,32.7,33,22.9,57.6,6.11,83.6,27.1,22.7,Kidneybeans
29.4,27.5,24.4,26.5,62.1,5.89,179.5,21,25.4,Kidneybeans
31,19.7,54,27.5,62.3,5.76,79.3,23.7,16.3,Kidneybeans
61,18.3,19.5,22.8,60,5.58,118.6,24.8,28.2,Kidneybeans
64.6,24,50.4,21.9,66,5.96,86.5,21.4,12.2,Kidneybeans
25.3,25.7,50.1,23.7,48.9,5.86,150,23.4,28.9,Kidneybeans
34.7,21.5,30.5,23.5,53.4,5.72,95.6,27.6,25.4,Kidneybeans
71.7,21.6,36.2,27.5,38.5,5.98,84.1,30,32.5,Kidneybeans
69.2,22.4,37.4,22.4,43,5.83,116.6,22.4,35.4,Kidneybeans
70.7,12.1,25.8,25.6,37,6.08,78.9,26,38.8,Kidneybeans
50.5,21.4,38.4,26.1,55.3,6.07,80.6,18.2,39.6,Kidneybeans
74.5,20.4,35.6,25.8,62.7,6.02,109.5,18.7,10,Kidneybeans
54.9,22.5,46.4,20.6,46.1,5.93,62.3,18.9,48,Kidneybeans
52.1,26.3,30.3,24.1,42.5,5.5,80.8,27.1,42.1,Kidneybeans
28.6,20.6,63.5,26.5,57.1,5.85,121,26.3,37.2,Kidneybeans
57.5,21.1,33.1,20.8,52.1,5.6,105.8,26.8,59.3,Kidneybeans
24.6,26.3,23.4,23.8,46.3,5.87,62,19.8,36.9,Kidneybeans
56.7,15.3,35.9,22.6,31.6,5.84,103.2,23.4,11.9,Kidneybeans
56.7,16.1,61.7,27.3,35.2,5.52,107,22.6,28.5,Kidneybeans
47.6,17.9,45.9,20.4,80,6.06,97.4,24.8,31.6,Kidneybeans
19.6,8.9,90.1,26.8,49.5,5.83,662.1,21.9,55.9,Pigeonpeas
31.4,34,45.6,24.6,62.3,5.08,756.5,34.8,38,Pigeonpeas
33.4,31,35.4,31.2,44.1,5.75,644.2,23.5,35.3,Pigeonpeas
0,38.7,44,28.5,57.5,6.21,651.1,24.6,32.6,Pigeonpeas
51.1,37.9,57.1,26,72.9,5.63,663.9,22.7,20,Pigeonpeas
19.9,22.8,39.3,20.1,56.3,6.08,721.4,24.6,48.6,Pigeonpeas
50.7,34.8,58.5,26.8,58.5,5,826.4,27.7,68.2,Pigeonpeas
38.4,38.9,58.1,24.2,77.4,6.92,909,22.9,41.9,Pigeonpeas
22.4,23.3,49.1,29.3,56.2,5.4,749.1,21.7,37.7,Pigeonpeas
30,43.3,23,24.9,55,6.75,760.2,25.8,55.5,Pigeonpeas
12.6,29.7,72.7,27.7,58.4,5.96,864.5,23.5,35,Pigeonpeas
31.2,18.7,91.2,30.9,44.2,5.66,785.6,27.5,46.8,Pigeonpeas
47.2,25.3,58,24.7,56.8,6.65,859.7,29.1,43,Pigeonpeas
33.3,23.9,13.6,20.9,67,6.67,938.4,26.2,50.2,Pigeonpeas
43.3,37.4,77.3,25.8,72,6.64,919.7,24.5,42.3,Pigeonpeas
58.7,35.8,29.6,29.9,40,6.05,919.5,31.2,45.9,Pigeonpeas
43.7,24.2,80.4,27.7,61.8,6.37,705.3,18,37.3,Pigeonpeas
22.8,39.2,42.1,22,51.8,6.69,716.8,25.2,32.9,Pigeonpeas
4.3,52.6,27.5,28.9,63.6,5.69,803.1,23.9,45.1,Pigeonpeas
67.4,35.8,10,28.1,59.1,5.38,729.7,24.4,43.2,Pigeonpeas
0,21.3,74.1,19.2,40,5.8,919.7,22.3,27.7,Pigeonpeas
31.5,28.1,62.2,27.9,43.4,6,825.2,25.2,37.4,Pigeonpeas
32.1,34.2,41.7,24.5,80,6.06,745.4,33.7,38.8,Pigeonpeas
38.2,41.9,37,23.8,56.9,6.61,926,31.3,54.8,Pigeonpeas
19.8,31.2,66.5,21.9,64.5,5.78,806.7,18,20,Pigeonpeas
22.2,23.4,50.5,34.1,56.7,5.75,700.3,32.8,46.6,Pigeonpeas
49.1,43.6,77.1,32,57,5.67,903.3,25.9,55.1,Pigeonpeas
26.6,32.5,41.2,23.9,66.2,6.16,930.1,25.7,50.8,Pigeonpeas
28.2,36.1,47,28.7,48.5,5.34,808.3,25.4,54.6,Pigeonpeas
45.3,19.2,45.4,34.7,69.4,6.21,820.9,25.6,35,Pigeonpeas
56.7,40.3,50.1,28.1,57.9,6.22,980.2,26.4,39.2,Pigeonpeas
57.4,26.1,21,23.4,45.3,6.08,721,23.6,44.5,Pigeonpeas
26.2,29.6,31.5,24.3,54.8,5,609,26.5,42.7,Pigeonpeas
34.6,32,73.6,38,46.9,5.5,711,24.9,44.4,Pigeonpeas
22.8,36,98.1,28.7,69.4,6.07,848.6,28,62.2,Pigeonpeas
18.2,25.9,35.4,26.5,60.7,5.84,997.6,19,26.1,Pigeonpeas
38.5,21.6,56.2,35.1,68.6,5.48,987.9,26.9,43.4,Pigeonpeas
18.8,25.7,47.4,37.4,58.9,5.96,706.2,30.1,32.3,Pigeonpeas
54.8,45.6,65,29.2,46.6,5.8,779.1,27.2,58.1,Pigeonpeas
18.9,14.4,55.2,24.3,44.3,6.51,1018.2,24.7,46.4,Pigeonpeas
6.6,32.2,107.4,33.6,75.4,5.52,761.8,28.7,38.9,Pigeonpeas
17.9,23.8,102,25,66.1,6.31,817.2,24.4,34.6,Pigeonpeas
25.4,44.5,41.6,27.1,63.9,6.48,694.6,27.5,55,Pigeonpeas
44.5,19.9,35.9,21.1,67.4,5.99,941,26.8,45,Pigeonpeas
0,20.2,32.8,23.4,65.4,6.06,847,20.8,32.2,Pigeonpeas
30.3,28.5,53.1,25.8,49.6,5.14,761.9,25.9,40,Pigeonpeas
7.6,11.9,30.3,26.3,67.6,5.74,939.4,22,20,Pigeonpeas
16.5,27.9,76.1,30.7,76.2,5.13,776.7,22.3,48.5,Pigeonpeas
34.1,26.8,52.4,23.9,45.8,5.65,789.7,21.1,32.2,Pigeonpeas
33.4,18.5,72.5,29.2,51.4,6.8,684.7,36,40,Pigeonpeas
39.9,17.2,72,18,57.7,5.98,839.8,27.1,42.4,Pigeonpeas
29.5,18,61.6,30,79,6.54,718.1,31.4,36.7,Pigeonpeas
25.8,32.9,49.9,34.3,67.2,6.09,829.2,27.9,58.9,Pigeonpeas
14.5,43.6,73.3,25.5,51.2,5.54,782.1,25.1,36,Pigeonpeas
0,31,63.6,28.4,40,5.85,737.6,27.5,48.7,Pigeonpeas
28.2,49.5,40.2,22.1,63,5.96,972.1,32.7,40.9,Pigeonpeas
10.4,28.2,90.7,25.6,50.2,5.84,897.6,22.9,30.5,Pigeonpeas
50.9,31.5,81.5,25.2,62.5,5.39,917.6,26.6,37.1,Pigeonpeas
28.7,39.5,80.2,28.6,53.9,5.82,730.4,30.7,47.4,Pigeonpeas
68.1,18,47.1,32.3,44.8,6.64,656.1,26.1,43.9,Pigeonpeas
16.2,41,28.7,34.6,46.1,5.96,851.2,22.7,29.5,Pigeonpeas
0,23.9,43.9,19.3,62.5,6.39,1015.1,29.5,57.4,Pigeonpeas
13.7,5,41.9,27,73.5,6.32,794.7,22.8,49.8,Pigeonpeas
64.4,41.3,61.7,26.8,61.7,6.09,1200,22.9,40.1,Pigeonpeas
35.3,31,32.7,28.5,58.4,6.28,789.6,25.1,40.3,Pigeonpeas
0,29.1,50,25.9,65.6,6.41,755.8,29.2,42.8,Pigeonpeas
37.4,32.2,69.1,24.4,50.5,6.3,783,28.2,43.2,Pigeonpeas
0,37.9,55.1,33.6,50.3,5.92,1020.5,29.8,55,Pigeonpeas
34,43,54.4,36.2,40,6.67,880.9,19.1,41.2,Pigeonpeas
14.9,18.5,91,31.6,61.9,7,986.5,23.7,32.6,Pigeonpeas
36.6,27.4,39.4,32,59.3,6.05,783.1,33,28.7,Pigeonpeas
45.4,27.9,36.4,29.5,58.1,6.26,700.8,27.9,42.5,Pigeonpeas
7.8,26.6,59.2,29.9,72.2,5.4,704.3,31.4,40.3,Pigeonpeas
13.4,36.7,60.3,25,68.6,6.35,823.1,30.5,41.4,Pigeonpeas
30.9,31.1,33.3,28,60.6,6.44,728,23.5,33.6,Pigeonpeas
19.5,33.1,50.9,26.9,57,6.04,765.8,24,46.6,Pigeonpeas
64.9,31.8,21.9,28.1,52,6.08,683.5,31.5,34.1,Pigeonpeas
90.3,41.8,68.4,27.7,73.3,5.54,951.5,25,43.3,Pigeonpeas
55.7,38.8,54.5,34.4,80,5.78,915.1,32.1,36.2,Pigeonpeas
51,35.2,55.9,24.8,47.2,7,898.3,22.8,34.7,Pigeonpeas
20.9,32.6,55.3,24.4,60.1,5.34,868.4,28.1,36.1,Pigeonpeas
18.5,39.1,52.6,26.3,55.8,5.61,784.9,21.7,44.4,Pigeonpeas
36.1,27.4,50.6,25.8,40,6.2,875.7,20.3,48.7,Pigeonpeas
3.8,30.7,40.5,20.7,70.3,6.26,882.2,30.8,36.6,Pigeonpeas
11.6,15.7,36.4,28.7,46.3,6.52,822.9,26.4,28.1,Pigeonpeas
57.9,20,77.6,27,45.8,6.69,769.8,30.2,38.7,Pigeonpeas
50.9,39.1,41.5,26.7,54.7,6.79,750.3,25.8,45.8,Pigeonpeas
0,32.3,52,26.8,69.1,6.24,783.6,30.7,38.3,Pigeonpeas
21.2,21.5,46.9,27,57.2,5.83,697.7,27,39.5,Pigeonpeas
8.3,22.1,60.2,24,66.7,5.65,952.6,27,51.7,Pigeonpeas
28.8,44.3,75.2,29.2,75.9,6.04,500,25.3,30.8,Pigeonpeas
2.2,34.6,62.7,32.5,44.3,5,693.7,20,38.7,Pigeonpeas
11.3,49.8,69.1,23.7,62.5,5.41,753.9,26.2,50,Pigeonpeas
47.1,36.8,12.8,24.5,44.7,6.53,915.6,20,43.3,Pigeonpeas
57.5,26.8,36.1,29.4,53.8,5.83,1022.2,20.8,37.9,Pigeonpeas
18.6,40.6,13.3,26.5,56.9,6.68,823.6,19.4,44.3,Pigeonpeas
24.1,27.3,30,21.2,70.2,5.57,825.1,27.9,51,Pigeonpeas
43.5,45.6,61.2,24.8,55.2,5.58,705.2,36,52.4,Pigeonpeas
8.3,28.2,99.1,33.4,51.8,7,879.7,28.3,52.5,Pigeonpeas
41.3,29,58.4,20.7,62.8,5.97,767.3,24,50.6,Pigeonpeas
0,38.7,51.5,33.8,56.3,6.19,649.4,29.2,38.6,Pigeonpeas
46.8,43.6,19.3,27.3,53.8,7,914.8,26.5,33.4,Pigeonpeas
29.7,38.7,57.9,27.6,68.3,5.92,963.7,24.6,46.2,Pigeonpeas
7.4,30.4,48.2,21.2,70,6.89,650.2,24.2,46.2,Pigeonpeas
65.1,33.7,28.5,22.3,49.1,5.92,883.1,25.6,42.4,Pigeonpeas
28.9,31.4,30.5,26.7,73.6,5.6,500,32.7,38.1,Pigeonpeas
21.2,63.4,62.5,20.4,53.1,5.65,871.2,27.6,40.3,Pigeonpeas
10.9,32,68.6,31.4,72.7,6.67,813.2,20.5,51.7,Pigeonpeas
40,25.3,50.7,26.9,47,6.08,837.1,18.1,41.2,Pigeonpeas
16.7,35.3,76.4,29,52.4,6.7,858,27.1,37.2,Pigeonpeas
37.4,19.3,59.4,30.6,75.3,5,794.7,24.1,50.2,Pigeonpeas
50.2,20.6,72.2,31.2,64.1,6.64,812.7,28.5,41.9,Pigeonpeas
17.6,30.5,77.6,26.4,64.5,5.93,878.8,23,34.7,Pigeonpeas
44.6,20.1,65.5,27.5,64.2,5.91,667.1,36,56.3,Pigeonpeas
25.8,21.4,37.7,27.8,68.4,6.77,779.9,21.8,41.4,Pigeonpeas
4.3,41.5,33.3,22.1,61.1,6.17,732.1,31,29.7,Pigeonpeas
48.3,55.2,25.3,32.2,59.2,6.24,869.3,23.7,45.8,Pigeonpeas
34.1,32.5,38,30,60.7,6.21,759.6,24.9,41,Pigeonpeas
9.1,38.9,85.1,23,60.8,6.58,777.4,23.2,43.2,Pigeonpeas
53.6,21.3,53.3,29.6,45.4,5.48,696.8,22.2,44.8,Pigeonpeas
26.7,39.2,75.2,32.8,64.9,5.34,977.2,20.6,37,Pigeonpeas
22.4,46.1,64,33.7,56.3,5.6,660.6,27.2,48.7,Pigeonpeas
32.7,42.4,79.2,22.6,46.3,6,990.5,24.9,38.7,Pigeonpeas
0,21.5,38.5,32.1,56.8,6.34,857.6,30.2,42.4,Pigeonpeas
43.1,27.6,39.3,27.1,53.3,5.76,816.4,24.1,50.7,Pigeonpeas
29.4,26.1,47,29.3,54.6,5.16,958.3,30.3,33,Pigeonpeas
30.2,39.9,10,26.6,51.9,6.24,792.1,29.5,50.7,Pigeonpeas
31,27.9,61.6,33.2,65.7,5.63,856,26.3,42.7,Pigeonpeas
16.6,32.9,57.9,36.7,42.1,5.19,706.5,30.8,44.1,Pigeonpeas
19.4,30,50.7,29.5,64.3,6.09,948.1,27.6,43.9,Pigeonpeas
0,36.5,56,27.2,62.4,6.18,500,22.3,41.8,Pigeonpeas
16.7,25,53.8,20.2,57.4,7,729.9,22.6,44.7,Pigeonpeas
40.5,42.1,41.6,32.9,66.9,6.36,695.4,22.9,49.6,Pigeonpeas
14.5,79.2,32.4,27.3,46.2,6.33,828.4,24,36.2,Pigeonpeas
18.6,28.4,107.3,24.9,71.2,5.49,884.5,24.3,35.8,Pigeonpeas
0,29,18.1,30.1,55.8,6.36,742.9,29.2,25.1,Pigeonpeas
35.6,43.7,42.8,33.3,70.9,6.48,703,29.4,22.4,Pigeonpeas
65.9,26.2,46,23.8,47.8,6.46,642.2,26.3,48.8,Pigeonpeas
1.7,35.6,25.9,28.9,70,5.64,991.8,26.2,34.8,Pigeonpeas
26.7,35.4,50.3,30.1,58.7,6.32,680.4,28.8,40.5,Pigeonpeas
10.7,27.4,75.9,28,59.8,6.01,666,23.1,26.5,Pigeonpeas
36.3,35.7,17.6,21.4,49.1,6.11,802.3,22,52,Pigeonpeas
30.3,29.4,46.5,30.6,58.9,5.89,766,26,33.1,Pigeonpeas
49.2,27.6,47.9,25.9,52.9,6.78,774.4,28.3,72,Pigeonpeas
13.8,21.4,44.3,25.9,60.4,6.73,780.5,20.6,53,Pigeonpeas
20.6,39.7,50.9,28.1,58.7,5.91,892.9,18,61.8,Pigeonpeas
23.9,35.2,45.2,26.3,73.7,5.87,839.1,24,39.3,Pigeonpeas
15.8,29.6,61.2,34.7,56.2,5.87,824,24.2,49.3,Pigeonpeas
54.5,21.7,50.7,27.3,52,6.42,603,20.8,41.9,Pigeonpeas
28.2,30.7,48.7,24.6,42.3,5.4,931.8,23.6,42.8,Pigeonpeas
0,47.4,41.8,29.3,58.4,5.89,821.7,23.3,50.9,Pigeonpeas
30.6,35.6,69.3,30.1,52.2,6.08,802.5,21.3,44.5,Pigeonpeas
14.2,48.4,35.2,26.2,61.6,5.5,816.2,26,44.7,Pigeonpeas
13.4,22.9,19.2,32.7,70,6.27,744,24.1,25.9,Pigeonpeas
24.6,40.2,88.7,38,40,6.55,822,23.5,21.4,Pigeonpeas
23.1,36.3,38.6,29,55.2,5.58,639.8,19,40.2,Pigeonpeas
37.4,22.2,60.7,24.3,68.7,6.29,799.1,32.9,42.1,Pigeonpeas
14.9,12.7,57.5,30.2,50.8,6.27,821.6,20.2,53.2,Pigeonpeas
23.3,21.8,12.5,21.8,58.7,6.01,930.2,25.5,32.5,Pigeonpeas
27.5,13.6,37.9,27.8,63.4,6.47,840.8,27,38.6,Pigeonpeas
32.4,23,32.1,27.4,70.9,6.68,829.4,23.7,45.3,Pigeonpeas
35.7,43.6,10,28.2,68,6.07,744,23.9,41.7,Pigeonpeas
29.4,38.3,50.8,25.7,59.1,5.82,828.3,28.7,44.2,Pigeonpeas
0,9.5,41.4,31.3,65.1,5.97,686.1,24,42.9,Pigeonpeas
37.5,27.4,50.4,18,51.3,5.45,779.7,25.2,47.2,Pigeonpeas
54.1,16.1,65.5,29.2,69.2,5.39,878.1,26.8,40.3,Pigeonpeas
0,35.4,10,33.1,71.3,6.96,683.6,28.2,50.8,Pigeonpeas
60.8,26.1,59.1,30.7,68,6.5,710.8,27.5,29.4,Pigeonpeas
25.3,52.8,58.6,22.9,64,5.16,790.4,26.8,50.1,Pigeonpeas
12.7,44.8,60.3,28.3,59.2,5.74,748.1,24.2,41.2,Pigeonpeas
20.7,36,55.5,29,70.5,6.51,680.5,27.6,53,Pigeonpeas
34.7,24.6,34.8,21.2,52.9,5.21,986.9,25.4,29.7,Pigeonpeas
39.6,31.5,44.4,25.1,63,6.92,948.1,24.2,20.5,Pigeonpeas
57.1,50.9,62.2,32.3,74.8,5.79,718,33.5,25.6,Pigeonpeas
16.6,37.9,10,28.4,53.4,6.12,734,29.6,29.5,Pigeonpeas
33.4,36.3,69.5,22.1,51,6.01,604.4,23.4,39.6,Pigeonpeas
26.1,19,54.9,21.3,49.4,5.95,937.4,26,43.6,Pigeonpeas
38.2,29.9,10,25.5,57.1,7,735.3,26.8,36.5,Pigeonpeas
18.4,34,52.4,23,71.6,5.87,822.4,28.7,20,Pigeonpeas
50.7,31.7,18.2,27.1,60.4,5.57,800,18.5,48.5,Pigeonpeas
15.9,31.6,26.6,28.2,51.4,5.82,749.2,27.1,41.4,Pigeonpeas
33.4,15.7,51.7,33.1,80,5,899.4,26.9,43.6,Pigeonpeas
28.6,20,46.2,28.5,69,5.79,665.7,26.5,48.3,Pigeonpeas
0,28.7,55.6,24.3,62.9,6.94,644.1,26.5,37.5,Pigeonpeas
30.6,33.2,63.8,30.5,52.6,5.4,638.3,22.9,48.7,Pigeonpeas
55.5,46.8,38.6,22.8,53.7,6.03,771.2,23.9,33.7,Pigeonpeas
32.9,16.8,47.5,27.7,72.6,6.11,862,31.3,45.5,Pigeonpeas
11.9,38.8,75.8,26.6,69,6.52,842.6,29.3,52.8,Pigeonpeas
9.6,35,36.6,26,63.7,6.64,618.6,31.2,50.7,Pigeonpeas
12,32.9,105.6,26.6,53.7,5.87,848.4,26.8,41.4,Pigeonpeas
42.3,29,10,35.1,52.4,6.07,696.8,21.5,21.5,Pigeonpeas
29.5,33.5,55.7,25.4,69.3,6.15,816.7,23.2,55.8,Pigeonpeas
31.6,24.6,62.1,22,50.8,6.54,761.8,24,40.8,Pigeonpeas
0,29.3,24.2,26.3,71.4,6.03,836.9,29.1,38.9,Pigeonpeas
29.1,25.3,74.3,30.5,65.5,5,676.2,27.4,49.2,Pigeonpeas
33.8,28.3,89.2,31.3,70.2,5.62,899.8,23.7,31.4,Pigeonpeas
23.1,12.7,36.3,25.8,63.4,5.92,895.1,27.3,64.7,Pigeonpeas
26.8,17.4,26.3,22.3,53.4,5.99,684.3,30,27.4,Pigeonpeas
44.9,36.6,72.5,31.7,64.7,6.24,500,18,36.7,Pigeonpeas
52.3,49.5,10.5,27.1,77.7,6.58,882.1,25.3,32.4,Pigeonpeas
60.7,40.4,40.7,24.4,42.9,6.46,829.5,31.6,56.9,Pigeonpeas
0,23.7,55,28.5,58.6,5.71,780.2,26.6,34.5,Pigeonpeas
55.7,27.1,57,26.1,77.4,6.53,832.8,32.2,38.9,Pigeonpeas
36.7,37.2,56.9,35.3,57.9,6.01,813.8,29.6,44.9,Pigeonpeas
39.9,30.5,49,34.2,58.2,6.23,846.2,26.1,51.1,Pigeonpeas
20.6,31,59.1,27.2,61.9,7,660.8,22.8,39.1,Pigeonpeas
32.1,15.3,22.1,29.9,63.3,5.95,896,25.4,32.1,Pigeonpeas
4,45.2,72.7,25.1,80,6.05,500,22.7,33.9,Pigeonpeas
29.8,32.8,55.4,32.4,55.2,5,696.8,18,30.5,Pigeonpeas
18.4,39.2,53.6,28.5,48.7,6,823.7,27.4,39.3,Pigeonpeas
13.6,35.3,50,27.4,62.4,5,854.5,29.4,21,Pigeonpeas
0,27.5,100.2,32.1,56.1,6.1,1007,29.9,36.8,Pigeonpeas
51.7,43.5,27.3,27.6,68.2,6.68,697.2,28.4,20,Pigeonpeas
45.6,20.1,79.8,29.7,59.9,5.63,812.8,24.8,41.3,Pigeonpeas
0,39.5,45.2,23,62.9,6.08,738.6,23.2,28.4,Pigeonpeas
30.5,33.2,60.3,32.6,47.9,5.71,809.4,24.5,25.5,Pigeonpeas
17.6,39.9,71.5,25.3,70.4,5.64,1001.2,26.5,41.4,Pigeonpeas
14.4,23.2,70.7,38,66.2,5.86,1030,22.6,39.1,Pigeonpeas
37.1,26.8,38.9,26,64.3,5.99,961.1,19.9,38.8,Pigeonpeas
23.4,38.2,57.7,37.1,52.7,6.16,810.8,26.2,46.3,Pigeonpeas
44.7,17.7,59.4,22.9,75.6,6.44,850.9,20.1,62.6,Pigeonpeas
23,23.2,25.7,26,63.7,6.15,917.1,24.1,27,Pigeonpeas
18.7,19.1,59.1,33.4,59.2,6.43,753.1,19.7,58.5,Pigeonpeas
30.8,35.1,88.5,30.1,70.8,5.48,798,24.5,37.2,Pigeonpeas
7.1,33.2,23.8,29.9,55,5,649.2,23,35.5,Pigeonpeas
38.7,25.7,36.8,25.7,40,6.26,785.2,22.1,41.3,Pigeonpeas
0.5,13.4,26.9,35.4,47.9,6.13,782.7,32.7,50.7,Pigeonpeas
33.5,33.2,77.3,23.3,67.9,6.58,878.5,34.2,27.7,Pigeonpeas
30.3,23.8,74.7,33.3,49.9,5.89,696.8,22,23.4,Pigeonpeas
32.2,33.2,25.2,29.3,63.2,6.07,895.3,27.6,34.8,Pigeonpeas
47.4,23.2,53.5,30.3,62.8,5.79,737.3,28.4,48.7,Pigeonpeas
38.1,17.4,37,28,58.2,5.67,864.1,27.9,47.2,Pigeonpeas
32.4,21.6,58.9,23.4,53.6,6.15,882.6,19.7,35.5,Pigeonpeas
51.9,31.7,30.8,25.6,60.2,6.36,643.3,28.2,41,Pigeonpeas
54.5,34.1,37,33.5,48.6,6.38,753.3,36,34.5,Pigeonpeas
44.9,24.9,24.9,25.2,53.5,6.5,942,28.4,20,Pigeonpeas
70.3,35.7,68.4,33,69.1,6.3,706.4,26.8,23.5,Pigeonpeas
89.5,24.8,28.9,31.8,49.9,5.65,742.8,35.8,50.5,Pigeonpeas
40.7,41.7,53.7,24.6,50.8,5.81,815.9,24.4,45.4,Pigeonpeas
11.2,25.8,47.1,28.3,69.5,6.7,925.2,19.6,44.8,Pigeonpeas
35.2,6.1,89.7,29.3,54.3,6.31,500,23.1,20,Pigeonpeas
22.4,6.2,106.9,27.4,71.2,5.49,677,26.1,45.4,Pigeonpeas
55.2,36.7,49.1,26.9,62,5.79,728,23.9,21.1,Pigeonpeas
9.6,6.9,39.5,18,67.7,5.94,940.9,23.1,58.6,Pigeonpeas
54.8,42.9,67.5,28.8,55.4,6.72,889,30,42,Pigeonpeas
63.7,18.4,39.4,24.5,54,5.53,883.3,23.8,40.6,Pigeonpeas
28.1,23.9,35.8,31.8,61,5,779.6,23.9,45,Pigeonpeas
0.1,32.4,31.3,31.4,80,5.48,588.6,32.7,34,Pigeonpeas
34.5,15,44.5,28.1,80,6.13,823.1,21.8,37.7,Pigeonpeas
0,40.2,53.3,34,64.6,5.7,854.1,29.2,31.6,Pigeonpeas
48.5,25.4,53.6,22.7,48.8,6.5,896.1,32,49.4,Pigeonpeas
42,33.8,36,32.8,58.5,5.8,898.8,25.8,47.3,Pigeonpeas
38.6,37.8,49.2,31.2,59,6.24,912.6,20.2,51.2,Pigeonpeas
44.2,41.2,32.8,26.8,69,5.64,859.4,25.5,38.3,Pigeonpeas
30.1,32.6,34.9,26.6,80,5.98,964.3,31.3,41,Pigeonpeas
58.8,26.5,28.9,31.2,53.9,5.52,757.8,30.4,53.9,Pigeonpeas
41.9,28.7,44.1,34.5,51.5,5.52,619.7,26.4,47.3,Pigeonpeas
27.7,43.8,13.6,33.2,74.3,5.66,924.4,29.5,38.5,Pigeonpeas
62.5,23.7,76.7,35.4,61.5,5.4,741.1,20.7,34.2,Pigeonpeas
16.9,28.1,24.8,29.8,41.8,6.15,579.9,34.3,42,Pigeonpeas
74.9,34.4,54.6,26.9,46.5,5.98,941.9,34.5,44.6,Pigeonpeas
51.8,53.9,31.4,26.3,66,6.23,810.5,25.5,24.3,Pigeonpeas
40.4,24.5,86.1,35.4,55.6,6.22,768.1,29.7,37.3,Pigeonpeas
45.8,55.9,49,24.2,48.7,6.29,979.8,29.6,44.7,Pigeonpeas
37.1,18.1,69.4,27.3,47.8,6.37,845.2,21,60,Pigeonpeas
13.8,32.1,38.8,31.1,80,7,863.4,26.3,35.5,Pigeonpeas
32.1,39.9,21.1,18,75.2,5.87,777.7,24.5,25.5,Pigeonpeas
11.1,29,71.5,38,80,6.81,835.6,25.4,44.7,Pigeonpeas
0,43.8,73.3,28.1,52.9,5.88,804.1,23.3,39.1,Pigeonpeas
12.1,37.4,62.5,27.6,42.6,6.04,746.1,28.4,38,Pigeonpeas
60.6,35.9,58.7,31.4,65.2,5.7,891.6,28.8,48.2,Pigeonpeas
43.1,23.5,42.8,33.2,61.7,6.7,632,30.6,54.1,Pigeonpeas
23.1,42.5,64.2,27.9,68.4,6.6,788.1,18,36,Pigeonpeas
12,38.2,16.7,26,53.7,5.5,858.6,25.6,37.1,Pigeonpeas
0.2,37.7,61.7,20.3,70.8,6.37,913.7,27.3,52.1,Pigeonpeas
46.8,21.4,27.1,29,70.3,5,826.2,30,37,Pigeonpeas
47.3,30.6,18.1,33.3,63.6,7,694.9,26.1,46.8,Pigeonpeas
6.9,28.6,33.1,24,46,5.65,865.9,19.5,20,Pigeonpeas
24.5,25.5,31.5,38,64.9,6.39,872.9,27.1,39.6,Pigeonpeas
9.9,23.3,61.2,22.7,53.7,5.37,744.4,30.6,39.8,Pigeonpeas
21.9,27.1,90.2,31.7,75,6.18,694.8,19.8,42.4,Pigeonpeas
6.4,28.4,21.7,28.8,72.4,5.92,871.3,21,20,Pigeonpeas
27.8,38.2,13.5,35.9,50.8,6.25,879.4,23.1,32.4,Pigeonpeas
10.1,16.5,43.1,34.4,41.1,6.77,610,24.1,43.2,Pigeonpeas
21.8,9,10,31,67.1,6.63,779.9,27.8,38.6,Pigeonpeas
45,34,71.6,30,58.7,5.34,866.2,30.9,40.1,Pigeonpeas
84.8,37.8,63.9,25.6,48.8,5.97,791.3,24.3,30.1,Pigeonpeas
0,26.5,40.2,25.5,48.5,6.03,706.7,29.3,41.3,Pigeonpeas
38.9,18.2,47.4,32,58,6.51,727.7,27.2,25.6,Pigeonpeas
8,38.7,33.1,27.3,48.5,6.09,695.9,21.7,36.6,Pigeonpeas
5.8,41,51.1,31.2,58,6.24,778.6,28.3,51.8,Pigeonpeas
32.4,28.2,66,25.8,62.1,6.05,749.5,35.3,32,Pigeonpeas
43.1,41.3,31.3,29.2,50.2,6.25,736,21.2,35.9,Pigeonpeas
